year_completed,blk_no,street,bldg_contract_town,max_floor_lvl,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,total_dwelling_units,age_announced,cluster,num_of_blocks,is_demolished,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE
1975.0,28,dover cres,qt,14.0,0.0,0.0,73.5,65.0,0.0,0.0,138.5,22.0,"['24', '28']",2.0,1,DOVER GARDENS,28,DOVER CRESCENT,DOVER GARDENS,28 DOVER CRESCENT DOVER GARDENS SINGAPORE 130028,130028,22255.013474157997,31899.703266428798,1.30476356767422,103.78169719934799,103.78169719934799
1971.0,3,syed alwi rd,kwn,17.0,0.0,0.0,44.0,14.333333333333336,0.0,0.0,58.33333333333334,26.0,"['3', '4', '5']",3.0,1,62 SYED ALWI ROAD SINGAPORE 207641,62,SYED ALWI ROAD,NIL,62 SYED ALWI ROAD SINGAPORE 207641,207641,30703.5637633502,32211.2552852575,1.3075815494476102,103.85761138850401,103.85761138850401
1971.0,4,syed alwi rd,kwn,17.0,0.0,0.0,44.0,14.333333333333336,0.0,0.0,58.33333333333334,26.0,"['3', '4', '5']",3.0,1,69 SYED ALWI ROAD SINGAPORE 207648,69,SYED ALWI ROAD,NIL,69 SYED ALWI ROAD SINGAPORE 207648,207648,30671.5721693002,32240.672466220298,1.30784759081937,103.857323931322,103.857323931322
1971.0,5,syed alwi rd,kwn,17.0,0.0,0.0,44.0,14.333333333333336,0.0,0.0,58.33333333333334,26.0,"['3', '4', '5']",3.0,1,66 SYED ALWI ROAD SINGAPORE 207645,66,SYED ALWI ROAD,NIL,66 SYED ALWI ROAD SINGAPORE 207645,207645,30683.542581768703,32229.1085830424,1.30774301010899,103.85743149019301,103.85743149019301
1974.0,20,upper boon keng rd,kwn,16.0,0.0,0.0,277.0,0.0,4.0,0.0,281.0,31.0,['20'],1.0,1,KALLANG HEIGHTS,3C,UPPER BOON KENG ROAD,KALLANG HEIGHTS,3C UPPER BOON KENG ROAD KALLANG HEIGHTS SINGAPORE 383003,383003,32426.6093560904,32898.1284255646,1.31379318761444,103.87309387056,103.87309387056
1977.0,54,sims dr,gl,12.5,0.0,0.0,64.5,106.0,2.1666666666666665,0.0,172.66666666666663,28.0,"['54', '56', '57', '59', '60', '62']",6.0,1,HDB-GEYLANG,43A,SIMS DRIVE,HDB-GEYLANG,43A SIMS DRIVE HDB-GEYLANG SINGAPORE 381043,381043,32821.2121517733,33232.696582427205,1.3168188437136499,103.87663962486602,103.87663962486602
1977.0,56,sims dr,gl,12.5,0.0,0.0,64.5,106.0,2.1666666666666665,0.0,172.66666666666663,28.0,"['54', '56', '57', '59', '60', '62']",6.0,1,150 SIMS DRIVE SINGAPORE 387381,150,SIMS DRIVE,NIL,150 SIMS DRIVE SINGAPORE 387381,387381,32737.5036819,33473.4235170446,1.3189959054998,103.87588749873699,103.87588749873699
1977.0,57,sims dr,gl,12.5,0.0,0.0,64.5,106.0,2.1666666666666665,0.0,172.66666666666663,28.0,"['54', '56', '57', '59', '60', '62']",6.0,1,SIMS VISTA,51,SIMS DRIVE,SIMS VISTA,51 SIMS DRIVE SIMS VISTA SINGAPORE 380051,380051,33072.6580690714,33174.4808678217,1.3162923209894801,103.878898984422,103.878898984422
1977.0,59,sims dr,gl,12.5,0.0,0.0,64.5,106.0,2.1666666666666665,0.0,172.66666666666663,28.0,"['54', '56', '57', '59', '60', '62']",6.0,1,SIMS VISTA,50A,SIMS DRIVE,SIMS VISTA,50A SIMS DRIVE SIMS VISTA SINGAPORE 381050,381050,33021.595405449196,33158.8265390545,1.31615075720637,103.878440158046,103.878440158046
1977.0,60,sims dr,gl,12.5,0.0,0.0,64.5,106.0,2.1666666666666665,0.0,172.66666666666663,28.0,"['54', '56', '57', '59', '60', '62']",6.0,1,PAN-I COMPLEX,601,SIMS DRIVE,PAN-I COMPLEX,601 SIMS DRIVE PAN-I COMPLEX SINGAPORE 387382,387382,32908.557138281896,33319.3306648023,1.31760231767541,103.877424477655,103.877424477655
1977.0,62,sims dr,gl,12.5,0.0,0.0,64.5,106.0,2.1666666666666665,0.0,172.66666666666663,28.0,"['54', '56', '57', '59', '60', '62']",6.0,1,PENROSE,26,SIMS DRIVE,PENROSE,26 SIMS DRIVE PENROSE SINGAPORE 387398,387398,33224.518627245896,33474.6800318528,1.31900718980146,103.88026357905599,103.88026357905599
