year_completed,blk_no,street,bldg_contract_town,max_floor_lvl,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,total_dwelling_units,age_announced,cluster,num_of_blocks,is_demolished
1973.0,88,zion rd,bm,14.0,0.0,0.0,103.8,22.0,1.4,0.0,127.2,33.0,"['88', '89', '90', '91', '92']",5.0,1
1973.0,89,zion rd,bm,14.0,0.0,0.0,103.8,22.0,1.4,0.0,127.2,33.0,"['88', '89', '90', '91', '92']",5.0,1
1973.0,90,zion rd,bm,14.0,0.0,0.0,103.8,22.0,1.4,0.0,127.2,33.0,"['88', '89', '90', '91', '92']",5.0,1
1973.0,91,zion rd,bm,14.0,0.0,0.0,103.8,22.0,1.4,0.0,127.2,33.0,"['88', '89', '90', '91', '92']",5.0,1
1973.0,92,zion rd,bm,14.0,0.0,0.0,103.8,22.0,1.4,0.0,127.2,33.0,"['88', '89', '90', '91', '92']",5.0,1
1976.0,246,ang mo kio ave 2,amk,8.0,0.0,0.0,89.85714285714286,16.857142857142858,25.0,0.14285714285714285,131.85714285714286,30.0,"['246', '247', '248', '249', '250', '251', '252']",7.0,1
1976.0,247,ang mo kio ave 2,amk,8.0,0.0,0.0,89.85714285714286,16.857142857142858,25.0,0.14285714285714285,131.85714285714286,30.0,"['246', '247', '248', '249', '250', '251', '252']",7.0,1
1976.0,248,ang mo kio ave 2,amk,8.0,0.0,0.0,89.85714285714286,16.857142857142858,25.0,0.14285714285714285,131.85714285714286,30.0,"['246', '247', '248', '249', '250', '251', '252']",7.0,1
1976.0,249,ang mo kio ave 2,amk,8.0,0.0,0.0,89.85714285714286,16.857142857142858,25.0,0.14285714285714285,131.85714285714286,30.0,"['246', '247', '248', '249', '250', '251', '252']",7.0,1
1976.0,250,ang mo kio ave 2,amk,8.0,0.0,0.0,89.85714285714286,16.857142857142858,25.0,0.14285714285714285,131.85714285714286,30.0,"['246', '247', '248', '249', '250', '251', '252']",7.0,1
1976.0,251,ang mo kio ave 2,amk,8.0,0.0,0.0,89.85714285714286,16.857142857142858,25.0,0.14285714285714285,131.85714285714286,30.0,"['246', '247', '248', '249', '250', '251', '252']",7.0,1
1976.0,252,ang mo kio ave 2,amk,8.0,0.0,0.0,89.85714285714286,16.857142857142858,25.0,0.14285714285714285,131.85714285714286,30.0,"['246', '247', '248', '249', '250', '251', '252']",7.0,1
1976.0,9,ghim moh rd,qt,14.67,0.0,0.0,79.0,87.83333333333333,0.8333333333333334,0.0,167.66666666666666,30.0,"['9', '10', '11', '12', '9a', '12a']",6.0,1
1976.0,10,ghim moh rd,qt,14.67,0.0,0.0,79.0,87.83333333333333,0.8333333333333334,0.0,167.66666666666666,30.0,"['9', '10', '11', '12', '9a', '12a']",6.0,1
1976.0,11,ghim moh rd,qt,14.67,0.0,0.0,79.0,87.83333333333333,0.8333333333333334,0.0,167.66666666666666,30.0,"['9', '10', '11', '12', '9a', '12a']",6.0,1
1976.0,12,ghim moh rd,qt,14.67,0.0,0.0,79.0,87.83333333333333,0.8333333333333334,0.0,167.66666666666666,30.0,"['9', '10', '11', '12', '9a', '12a']",6.0,1
1976.0,9a,ghim moh rd,qt,14.67,0.0,0.0,79.0,87.83333333333333,0.8333333333333334,0.0,167.66666666666666,30.0,"['9', '10', '11', '12', '9a', '12a']",6.0,1
1976.0,12a,ghim moh rd,qt,14.67,0.0,0.0,79.0,87.83333333333333,0.8333333333333334,0.0,167.66666666666666,30.0,"['9', '10', '11', '12', '9a', '12a']",6.0,1
1975.0,94,henderson rd,bm,14.0,0.0,0.0,179.0,84.0,2.5,0.0,265.5,32.0,"['94', '96']",2.0,1
1975.0,96,henderson rd,bm,14.0,0.0,0.0,179.0,84.0,2.5,0.0,265.5,32.0,"['94', '96']",2.0,1
1950.0,17,silat walk,bm,3.5,0.0,0.0,11.076923076923077,4.923076923076923,0.0,0.0,16.0,57.0,"['17', '18', '19', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31']",13.0,1
1950.0,18,silat walk,bm,3.5,0.0,0.0,11.076923076923077,4.923076923076923,0.0,0.0,16.0,57.0,"['17', '18', '19', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31']",13.0,1
1950.0,19,silat walk,bm,3.5,0.0,0.0,11.076923076923077,4.923076923076923,0.0,0.0,16.0,57.0,"['17', '18', '19', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31']",13.0,1
1950.0,22,silat walk,bm,3.5,0.0,0.0,11.076923076923077,4.923076923076923,0.0,0.0,16.0,57.0,"['17', '18', '19', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31']",13.0,1
1950.0,23,silat walk,bm,3.5,0.0,0.0,11.076923076923077,4.923076923076923,0.0,0.0,16.0,57.0,"['17', '18', '19', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31']",13.0,1
1950.0,24,silat walk,bm,3.5,0.0,0.0,11.076923076923077,4.923076923076923,0.0,0.0,16.0,57.0,"['17', '18', '19', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31']",13.0,1
1950.0,25,silat walk,bm,3.5,0.0,0.0,11.076923076923077,4.923076923076923,0.0,0.0,16.0,57.0,"['17', '18', '19', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31']",13.0,1
1950.0,26,silat walk,bm,3.5,0.0,0.0,11.076923076923077,4.923076923076923,0.0,0.0,16.0,57.0,"['17', '18', '19', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31']",13.0,1
1950.0,27,silat walk,bm,3.5,0.0,0.0,11.076923076923077,4.923076923076923,0.0,0.0,16.0,57.0,"['17', '18', '19', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31']",13.0,1
1950.0,28,silat walk,bm,3.5,0.0,0.0,11.076923076923077,4.923076923076923,0.0,0.0,16.0,57.0,"['17', '18', '19', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31']",13.0,1
1950.0,29,silat walk,bm,3.5,0.0,0.0,11.076923076923077,4.923076923076923,0.0,0.0,16.0,57.0,"['17', '18', '19', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31']",13.0,1
1950.0,30,silat walk,bm,3.5,0.0,0.0,11.076923076923077,4.923076923076923,0.0,0.0,16.0,57.0,"['17', '18', '19', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31']",13.0,1
1950.0,31,silat walk,bm,3.5,0.0,0.0,11.076923076923077,4.923076923076923,0.0,0.0,16.0,57.0,"['17', '18', '19', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31']",13.0,1
