latest_survival_date,year_completed,blk_no,street,max_floor_lvl,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,other_sold,is_demolished,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE
2020-04-24,1937,68,seng poh lane,1,bm,0,0,0,0,0,0,0,0,0,68 SENG POH LANE SINGAPORE 160068,68,SENG POH LANE,NIL,68 SENG POH LANE SINGAPORE 160068,160068,27985.298089999997,29563.57839,1.283637009,103.8331865,103.8331865
2020-04-24,1937,80,chay yan st,5,bm,41,0,14,15,12,0,0,0,0,TIONG BAHRU ESTATE,80,CHAY YAN STREET,TIONG BAHRU ESTATE,80 CHAY YAN STREET TIONG BAHRU ESTATE SINGAPORE 160080,160080,27768.240260000002,29481.037989999997,1.282890542,103.8312361,103.8312361
2020-04-24,1937,55,tiong bahru rd,3,bm,34,0,0,10,22,2,0,0,0,TIONG BAHRU ESTATE,55,TIONG BAHRU ROAD,TIONG BAHRU ESTATE,55 TIONG BAHRU ROAD TIONG BAHRU ESTATE SINGAPORE 160055,160055,28090.914010000004,29649.49016,1.284413965,103.8341355,103.8341355
2020-04-24,1937,63,seng poh lane,1,bm,0,0,0,0,0,0,0,0,0,63 SENG POH LANE SINGAPORE 160063,63,SENG POH LANE,NIL,63 SENG POH LANE SINGAPORE 160063,160063,28021.99578,29590.74297,1.283882676,103.8335162,103.8335162
2020-04-24,1937,66,eng watt st,3,bm,38,0,0,8,30,0,0,0,0,TIONG BAHRU ESTATE,66,ENG WATT STREET,TIONG BAHRU ESTATE,66 ENG WATT STREET TIONG BAHRU ESTATE SINGAPORE 160066,160066,27937.818089999997,29582.75682,1.283810452,103.8327599,103.8327599
2020-04-24,1937,65,tiong poh rd,3,bm,23,0,2,14,7,0,0,0,0,TIONG BAHRU ESTATE,65,TIONG POH ROAD,TIONG BAHRU ESTATE,65 TIONG POH ROAD TIONG BAHRU ESTATE SINGAPORE 160065,160065,27988.418410000002,29530.53807,1.283338204,103.8332145,103.8332145
2020-04-24,1937,81,tiong poh rd,4,bm,40,0,0,17,21,2,0,0,0,TIONG BAHRU ESTATE,81,TIONG POH ROAD,TIONG BAHRU ESTATE,81 TIONG POH ROAD TIONG BAHRU ESTATE SINGAPORE 160081,160081,27951.056610000003,29448.545769999997,1.282596694,103.83287879999999,103.83287879999999
2020-04-24,1937,64,tiong poh rd,3,bm,24,0,2,15,7,0,0,0,0,TIONG BAHRU ESTATE,64,TIONG POH ROAD,TIONG BAHRU ESTATE,64 TIONG POH ROAD TIONG BAHRU ESTATE SINGAPORE 160064,160064,28041.35615,29572.18531,1.283714847,103.8336902,103.8336902
2020-04-24,1938,71,seng poh rd,3,bm,15,0,2,6,7,0,0,0,0,TIONG BAHRU ESTATE,71,SENG POH ROAD,TIONG BAHRU ESTATE,71 SENG POH ROAD TIONG BAHRU ESTATE SINGAPORE 160071,160071,27909.30257,29630.97853,1.284246552,103.8325036,103.8325036
2020-04-24,1938,58,seng poh rd,3,bm,11,0,0,0,8,2,1,0,0,TIONG BAHRU ESTATE,58,SENG POH ROAD,TIONG BAHRU ESTATE,58 SENG POH ROAD TIONG BAHRU ESTATE SINGAPORE 160058,160058,27962.13212,29672.53657,1.284622388,103.8329783,103.8329783
2020-04-24,1949,34,kim cheng st,4,bm,24,0,0,24,0,0,0,0,0,HDB-BUKIT MERAH,34,KIM CHENG STREET,HDB-BUKIT MERAH,34 KIM CHENG STREET HDB-BUKIT MERAH SINGAPORE 161034,161034,27806.97629,29703.14749,1.284899222,103.83158420000001,103.83158420000001
2020-04-24,1949,33,lim liak st,4,bm,23,0,0,22,1,0,0,0,0,HDB-BUKIT MERAH,33,LIM LIAK STREET,HDB-BUKIT MERAH,33 LIM LIAK STREET HDB-BUKIT MERAH SINGAPORE 160033,160033,27806.195560000004,29727.467930000003,1.285119168,103.8315772,103.8315772
2020-04-24,1949,38,kim pong rd,4,bm,24,0,0,24,0,0,0,0,0,HDB-BUKIT MERAH,38,KIM PONG ROAD,HDB-BUKIT MERAH,38 KIM PONG ROAD HDB-BUKIT MERAH SINGAPORE 161038,161038,27686.369939999997,29699.32685,1.284864669,103.8305005,103.8305005
2020-04-24,1949,36,moh guan ter,4,bm,16,0,0,16,0,0,0,0,0,HDB-BUKIT MERAH,36,MOH GUAN TERRACE,HDB-BUKIT MERAH,36 MOH GUAN TERRACE HDB-BUKIT MERAH SINGAPORE 161036,161036,27746.682530000002,29701.236210000003,1.284881937,103.83104240000002,103.83104240000002
2020-04-24,1949,17,tiong bahru rd,4,bm,32,0,0,20,12,0,0,0,0,HDB-BUKIT MERAH,17,TIONG BAHRU ROAD,HDB-BUKIT MERAH,17 TIONG BAHRU ROAD HDB-BUKIT MERAH SINGAPORE 163017,163017,27977.48498,29782.323630000003,1.285615264,103.8331163,103.8331163
2020-04-24,1949,17,seng poh rd,4,bm,16,0,0,12,4,0,0,0,0,HDB-BUKIT MERAH,17,SENG POH ROAD,HDB-BUKIT MERAH,17 SENG POH ROAD HDB-BUKIT MERAH SINGAPORE 161017,161017,27990.734760000003,29747.12257,1.285296918,103.8332353,103.8332353
2020-04-24,1949,29,lim liak st,4,bm,16,0,0,16,0,0,0,0,0,HDB-BUKIT MERAH,29,LIM LIAK STREET,HDB-BUKIT MERAH,29 LIM LIAK STREET HDB-BUKIT MERAH SINGAPORE 161029,161029,27675.267999999996,29756.469139999997,1.285381443,103.8304007,103.8304007
