latest_survival_date,year_completed,blk_no,street,max_floor_lvl,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,other_sold,is_demolished
2020-04-24,1959,58,stirling rd,2,qt,8,0,0,8,0,0,0,0,0
2020-04-24,1959,55,stirling rd,2,qt,6,0,0,6,0,0,0,0,0
2020-04-24,1959,55,jln bahagia,2,kwn,8,0,0,8,0,0,0,0,0
2020-04-24,1959,57,jln ma'mor,2,kwn,7,0,0,7,0,0,0,0,0
2020-04-24,1959,52,jln bahagia,2,kwn,6,0,0,6,0,0,0,0,0
2020-04-24,1959,54,jln ma'mor,2,kwn,10,0,0,10,0,0,0,0,0
2020-04-24,1959,56,jln ma'mor,2,kwn,8,0,0,8,0,0,0,0,0
2020-04-24,1959,53,stirling rd,2,qt,6,0,0,6,0,0,0,0,0
2020-04-24,1959,56,stirling rd,2,qt,8,0,0,8,0,0,0,0,0
2020-04-24,1959,52,stirling rd,2,qt,6,0,0,6,0,0,0,0,0
2020-04-24,1959,50,jln bahagia,2,kwn,6,0,0,6,0,0,0,0,0
2020-04-24,1959,57,stirling rd,2,qt,8,0,0,8,0,0,0,0,0
2020-04-24,1959,43,jln bahagia,2,kwn,8,0,0,8,0,0,0,0,0
2020-04-24,1959,42,jln bahagia,2,kwn,8,0,0,8,0,0,0,0,0
2020-04-24,1959,61,jln tenteram,2,kwn,9,0,0,9,0,0,0,0,0
2020-04-24,1959,44,jln bahagia,2,kwn,4,0,0,4,0,0,0,0,0
2020-04-24,1959,39,jln bahagia,2,kwn,7,0,0,7,0,0,0,0,0
2020-04-24,1959,41,jln bahagia,2,kwn,8,0,0,8,0,0,0,0,0
2020-04-24,1959,65,jln ma'mor,2,kwn,6,0,0,6,0,0,0,0,0
2020-04-24,1959,49,jln bahagia,2,kwn,6,0,0,6,0,0,0,0,0
2020-04-24,1959,62,jln ma'mor,2,kwn,8,0,0,8,0,0,0,0,0
2020-04-24,1959,48,jln bahagia,2,kwn,6,0,0,6,0,0,0,0,0
2020-04-24,1959,60,jln bahagia,2,kwn,8,0,0,8,0,0,0,0,0
2020-04-24,1959,47,jln bahagia,2,kwn,8,0,0,8,0,0,0,0,0
2020-04-24,1959,40,jln bahagia,2,kwn,6,0,0,6,0,0,0,0,0
2020-04-24,1959,45,jln bahagia,2,kwn,4,0,0,4,0,0,0,0,0
2020-04-24,1959,46,jln bahagia,2,kwn,8,0,0,8,0,0,0,0,0
2020-04-24,1959,64,jln ma'mor,2,kwn,6,0,0,6,0,0,0,0,0
2020-04-24,1959,63,jln ma'mor,2,kwn,8,0,0,8,0,0,0,0,0
2020-04-24,1959,38,jln bahagia,2,kwn,8,0,0,8,0,0,0,0,0
2020-04-24,1961,45,stirling rd,7,qt,112,0,0,0,0,0,0,112,0
2020-04-24,1961,12,merpati rd,10,gl,119,0,0,0,0,0,0,119,0
2020-04-24,1961,13,merpati rd,10,gl,120,0,0,0,0,0,0,120,0
2020-04-24,1961,14,merpati rd,10,gl,120,0,0,0,0,0,0,120,0
2020-04-24,1961,49,stirling rd,7,qt,96,0,0,0,0,0,0,96,0
2020-04-24,1961,48,stirling rd,7,qt,112,0,0,0,0,0,0,112,0
2020-04-24,1962,99,old airport rd,10,gl,108,0,0,108,0,0,0,0,0
2020-04-24,1962,8,jln bt ho swee,9,bm,72,0,0,72,0,0,0,0,0
2020-04-24,1962,2,jln bt ho swee,10,bm,120,0,75,0,0,0,0,45,0
2020-04-24,1962,4,jln bt ho swee,9,bm,55,0,0,54,1,0,0,0,0
2020-04-24,1962,4,jln batu,10,kwn,119,0,0,118,1,0,0,0,0
2020-04-24,1962,97,jln dua,10,gl,117,0,0,114,3,0,0,0,0
2020-04-24,1962,20,jln tenteram,10,kwn,320,0,0,0,0,0,0,320,0
2020-04-24,1962,5,jln batu,10,kwn,110,0,0,100,10,0,0,0,0
2020-04-24,1962,22,jln tenteram,10,kwn,118,0,0,0,0,0,0,118,0
2020-04-24,1962,93,jln dua,10,gl,88,0,0,86,2,0,0,0,0
2020-04-24,1962,10,jln bt ho swee,10,bm,120,0,50,0,0,0,0,70,0
2020-04-24,1962,95,old airport rd,10,gl,119,0,0,118,1,0,0,0,0
2020-04-24,1962,6,jln bt ho swee,9,bm,70,0,0,68,2,0,0,0,0
2020-04-24,1962,21,jln tenteram,10,kwn,320,0,0,0,0,0,0,320,0
2020-04-24,1962,6,jln batu,10,kwn,116,0,0,112,4,0,0,0,0
2020-04-24,1963,28,jln bahagia,10,kwn,119,0,0,118,1,0,0,0,0
2020-04-24,1963,47,stirling rd,2,qt,6,0,0,0,6,0,0,0,0
2020-04-24,1963,1,kg kayu rd,10,kwn,107,0,0,106,1,0,0,0,0
2020-04-24,1963,32,jln bt ho swee,10,bm,88,0,27,58,2,0,0,1,0
2020-04-24,1963,20,jln klinik,10,bm,116,0,29,83,4,0,0,0,0
2020-04-24,1963,24,beo cres,10,bm,119,0,30,88,1,0,0,0,0
2020-04-24,1963,34,jln bahagia,10,kwn,119,0,0,118,1,0,0,0,0
2020-04-24,1963,40,beo cres,10,bm,96,0,18,76,2,0,0,0,0
2020-04-24,1963,46,stirling rd,2,qt,6,0,0,0,6,0,0,0,0
2020-04-24,1963,43,stirling rd,2,qt,4,0,0,0,4,0,0,0,0
2020-04-24,1963,28,jln klinik,10,bm,173,0,37,128,7,0,0,1,0
2020-04-24,1963,39,tanglin halt rd,2,qt,0,0,0,0,0,0,0,0,0
2020-04-24,1963,10,selegie rd,10,ct,48,0,0,48,0,0,0,0,0
2020-04-24,1963,9,selegie rd,20,ct,299,0,15,247,37,0,0,0,0
2020-04-24,1963,8,jln batu,10,kwn,95,0,93,0,1,0,0,1,0
2020-04-24,1963,32,jln bahagia,10,kwn,119,0,0,118,1,0,0,0,0
2020-04-24,1963,35,jln bahagia,10,kwn,120,0,0,120,0,0,0,0,0
2020-04-24,1963,7,jln batu,10,kwn,95,0,92,0,1,0,0,2,0
2020-04-24,1963,38,beo cres,10,bm,97,0,17,79,1,0,0,0,0
2020-04-24,1963,34,jln bt ho swee,10,bm,97,0,18,78,1,0,0,0,0
2020-04-24,1963,3,jln batu,10,kwn,116,0,0,112,4,0,0,0,0
2020-04-24,1963,27,jln bahagia,10,kwn,118,0,0,116,2,0,0,0,0
2020-04-24,1963,36,beo cres,10,bm,94,0,17,73,4,0,0,0,0
2020-04-24,1963,14,taman ho swee,9,bm,81,0,9,72,0,0,0,0,0
2020-04-24,1963,9,jln batu,10,kwn,117,0,111,0,3,0,0,3,0
2020-04-24,1963,30,jln klinik,10,bm,175,0,36,134,5,0,0,0,0
2020-04-24,1963,41,stirling rd,2,qt,6,0,0,0,6,0,0,0,0
2020-04-24,1963,16,taman ho swee,9,bm,78,0,9,66,3,0,0,0,0
2020-04-24,1963,37,jln rumah tinggi,12,bm,199,0,0,194,5,0,0,0,0
2020-04-24,1963,2,jln batu,10,kwn,116,0,0,112,4,0,0,0,0
2020-04-24,1963,44,stirling rd,2,qt,4,0,0,0,4,0,0,0,0
2020-04-24,1963,26,jln klinik,10,bm,107,0,0,106,1,0,0,0,0
2020-04-24,1963,42,stirling rd,2,qt,10,0,0,0,10,0,0,0,0
2020-04-24,1963,12,taman ho swee,9,bm,79,0,9,68,2,0,0,0,0
2020-04-24,1963,8,selegie rd,10,ct,108,0,7,96,4,0,0,1,0
2020-04-24,1963,18,taman ho swee,9,bm,79,0,9,68,2,0,0,0,0
2020-04-24,1963,33,jln bahagia,10,kwn,119,0,0,118,1,0,0,0,0
2020-04-24,1964,44,circuit rd,10,gl,115,0,28,82,5,0,0,0,0
2020-04-24,1964,47,circuit rd,10,gl,116,0,0,112,4,0,0,0,0
2020-04-24,1964,43,circuit rd,10,gl,118,0,28,88,2,0,0,0,0
2020-04-24,1964,57,circuit rd,10,gl,116,0,0,112,4,0,0,0,0
2020-04-24,1964,22,havelock rd,16,bm,280,0,0,280,0,0,0,0,0
2020-04-24,1964,102,c'wealth cres,10,qt,95,0,10,80,5,0,0,0,0
2020-04-24,1964,6,jln minyak,12,ct,156,0,0,0,0,0,0,156,0
2020-04-24,1964,109,c'wealth cres,10,qt,79,0,10,68,1,0,0,0,0
2020-04-24,1964,110,c'wealth cres,10,qt,76,0,10,62,4,0,0,0,0
2020-04-24,1964,61,circuit rd,10,gl,118,0,0,116,2,0,0,0,0
2020-04-24,1964,111,c'wealth cres,10,qt,78,0,10,66,2,0,0,0,0
2020-04-24,1964,48,lower delta rd,12,bm,382,0,111,0,0,0,0,271,0
2020-04-24,1964,46,circuit rd,10,gl,116,0,28,83,4,0,0,1,0
2020-04-24,1964,44,beo cres,10,bm,126,0,0,0,0,0,0,126,0
2020-04-24,1964,88,c'wealth cl,10,qt,97,0,10,84,3,0,0,0,0
2020-04-24,1964,104,c'wealth cres,10,qt,99,0,0,0,0,0,0,99,0
2020-04-24,1964,47,tanglin halt rd,2,qt,0,0,0,0,0,0,0,0,0
2020-04-24,1964,87,c'wealth cl,10,qt,98,0,10,86,2,0,0,0,0
2020-04-24,1964,108,c'wealth cres,10,qt,76,0,7,64,4,0,0,1,0
2020-04-24,1964,95,c'wealth dr,10,qt,96,0,10,82,4,0,0,0,0
2020-04-24,1964,103,c'wealth cres,10,qt,99,0,0,0,0,0,0,99,0
2020-04-24,1964,99,c'wealth cres,10,qt,97,0,10,84,3,0,0,0,0
2020-04-24,1964,60,circuit rd,10,gl,119,0,0,118,1,0,0,0,0
2020-04-24,1964,46,jln bt ho swee,10,bm,105,0,0,102,3,0,0,0,0
2020-04-24,1964,45,circuit rd,10,gl,119,0,28,88,1,0,0,2,0
2020-04-24,1964,12,kg arang rd,12,kwn,132,0,0,88,44,0,0,0,0
2020-04-24,1964,100,c'wealth cres,10,qt,75,0,9,61,5,0,0,0,0
2020-04-24,1964,48,circuit rd,10,gl,118,0,0,116,2,0,0,0,0
2020-04-24,1964,86,c'wealth cl,10,qt,100,0,10,90,0,0,0,0,0
2020-04-24,1964,101,c'wealth cres,10,qt,76,0,10,62,4,0,0,0,0
2020-04-24,1964,81,c'wealth cl,16,qt,256,0,63,192,0,0,0,1,0
2020-04-24,1964,46,tanglin halt rd,1,qt,0,0,0,0,0,0,0,0,0
2020-04-24,1964,98,c'wealth cres,10,qt,97,0,9,85,3,0,0,0,0
2020-04-24,1964,58,circuit rd,10,gl,116,0,0,112,4,0,0,0,0
2020-04-24,1964,14,kg arang rd,12,kwn,131,0,0,86,44,1,0,0,0
2020-04-24,1964,42,beo cres,10,bm,126,0,0,0,0,0,0,126,0
2020-04-24,1964,96,c'wealth cres,10,qt,77,0,9,65,3,0,0,0,0
2020-04-24,1964,84,c'wealth cl,10,qt,74,0,8,60,6,0,0,0,0
2020-04-24,1964,113,c'wealth cres,10,qt,76,0,8,64,4,0,0,0,0
2020-04-24,1964,85,c'wealth cl,10,qt,100,0,10,90,0,0,0,0,0
2020-04-24,1964,49,circuit rd,10,gl,119,0,0,118,1,0,0,0,0
