latest_survival_date,year_completed,blk_no,street,max_floor_lvl,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,other_sold,is_demolished,latitude,longitude,car_park_no,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement
2007-02-23,1952.0,24,silat walk / kg bahru hill / silat rd,4,bm,15.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,1,1.277077068,103.8314259,te27,surface car park,coupon parking,whole day,no,yes,0,0.0,n
2007-02-23,1952.0,25,silat walk / kg bahru hill / silat rd,4,bm,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1,1.276390119,103.8302713,te27,surface car park,coupon parking,whole day,no,yes,0,0.0,n
2007-02-23,1952.0,30,silat walk / kg bahru hill / silat rd,4,bm,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1,1.277276965,103.8310934,te27,surface car park,coupon parking,whole day,no,yes,0,0.0,n
1995-08-22,1952.0,3,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1,1.28684456,103.829123,te9,surface car park,coupon parking,whole day,no,yes,0,2.4,n
1995-08-22,1952.0,7,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1,1.286830114,103.8332871,te9,surface car park,coupon parking,whole day,no,yes,0,2.4,n
1996-02-08,1972.0,67,redhill rd,16,bm,192.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,1,1.288381067,103.8173911,te9,surface car park,coupon parking,whole day,no,yes,0,2.4,n
1997-10-17,1972.0,137,alexandra rd / tiong bahru rd,18,bm,146.0,0.0,5.0,126.0,13.0,2.0,0.0,0.0,1,1.273692712,103.8043359,te9,surface car park,coupon parking,whole day,no,yes,0,2.4,n
1997-10-17,1972.0,138,alexandra rd / tiong bahru rd,18,bm,146.0,0.0,5.0,126.0,13.0,2.0,0.0,0.0,1,1.290583531,103.8047276,te9,surface car park,coupon parking,whole day,no,yes,0,2.4,n
1997-10-17,1972.0,142,alexandra rd / tiong bahru rd,18,bm,146.0,0.0,5.0,126.0,13.0,2.0,0.0,0.0,1,1.292703398,103.810959,te9,surface car park,coupon parking,whole day,no,yes,0,2.4,n
1995-08-22,1952.0,9,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1,1.286835248,103.8313476,te22,surface car park,coupon parking,whole day,no,yes,0,0.0,n
2007-02-23,1952.0,28,silat walk / kg bahru hill / silat rd,4,bm,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1,1.277276965,103.8310934,te22,surface car park,coupon parking,whole day,no,yes,0,0.0,n
2007-02-23,1952.0,29,silat walk / kg bahru hill / silat rd,4,bm,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1,1.277276965,103.8310934,te22,surface car park,coupon parking,whole day,no,yes,0,0.0,n
1995-08-22,1952.0,15,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1,1.28652537,103.8301248,h11,surface car park,coupon parking,whole day,sun & ph fr 7am-10.30pm,yes,0,0.0,n
2007-02-23,1949.0,19,silat walk / kg bahru hill / silat rd,4,bm,23.0,0.0,0.0,11.0,12.0,0.0,0.0,0.0,1,1.276883151,103.8308839,h11,surface car park,coupon parking,whole day,sun & ph fr 7am-10.30pm,yes,0,0.0,n
1995-09-01,1971.0,145,lor 2 toa payoh,4,tp,82.0,0.0,0.0,65.0,17.0,0.0,0.0,0.0,1,1.335210354,103.8461629,tpm7,multi-storey car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,12,2.15,n
1995-09-01,1971.0,147,lor 2 toa payoh,4,tp,82.0,0.0,0.0,65.0,17.0,0.0,0.0,0.0,1,1.334546832,103.8450777,tpm7,multi-storey car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,12,2.15,n
1995-09-01,1971.0,151,lor 2 toa payoh,4,tp,82.0,0.0,0.0,65.0,17.0,0.0,0.0,0.0,1,1.335787912,103.847992,tpm7,multi-storey car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,12,2.15,n
1995-09-01,1971.0,152,lor 2 toa payoh,12,tp,154.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,1,1.334167085,103.8458911,tpm7,multi-storey car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,12,2.15,n
1995-11-08,1975.0,103,depot rd,14,bm,176.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,1,1.2807369240000002,103.8131357,tb14,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,4.5,n
1995-11-08,1975.0,110,depot rd,11,bm,165.0,0.0,0.0,164.0,0.0,1.0,0.0,0.0,1,1.281387539,103.8093625,tb14,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,4.5,n
1995-11-08,1975.0,111,depot rd,11,bm,165.0,0.0,0.0,164.0,0.0,1.0,0.0,0.0,1,1.281122693,103.8086879,tb14,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,4.5,n
1995-11-08,1975.0,105,depot rd,11,bm,165.0,0.0,0.0,164.0,0.0,1.0,0.0,0.0,1,1.28089298,103.8123553,tb14,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,4.5,n
1995-11-08,1975.0,107,depot rd,11,bm,165.0,0.0,0.0,164.0,0.0,1.0,0.0,0.0,1,1.28131575,103.8078619,tb14,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,4.5,n
1995-11-08,1975.0,112,depot rd,11,bm,167.0,0.0,0.0,166.0,0.0,1.0,0.0,0.0,1,1.28131575,103.8078619,tb14,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,4.5,n
1996-02-08,1970.0,71,redhill rd,10,bm,136.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.287319025,103.8174756,jrtm,multi-storey car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,12,2.15,n
2007-02-23,1949.0,18,silat walk / kg bahru hill / silat rd,4,bm,23.0,0.0,0.0,11.0,12.0,0.0,0.0,0.0,1,1.276280878,103.8297954,jrtm,multi-storey car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,12,2.15,n
1996-02-08,1970.0,72,redhill rd,10,bm,92.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.287405027,103.816392,h18,multi-storey car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,6,2.15,n
1998-10-07,1970.0,24,jln membina barat / lower delta rd,12,bm,102.0,0.0,4.0,97.0,0.0,1.0,0.0,0.0,1,1.282634376,103.8255958,h18,multi-storey car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,6,2.15,n
1998-10-07,1970.0,31,jln membina barat / lower delta rd,12,bm,102.0,0.0,4.0,97.0,0.0,1.0,0.0,0.0,1,1.285697429,103.8267854,h18,multi-storey car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,6,2.15,n
1998-10-07,1972.0,32,jln membina barat / lower delta rd,12,bm,121.0,0.0,3.0,109.0,8.0,1.0,0.0,0.0,1,1.282908655,103.824868,h18,multi-storey car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,6,2.15,n
1998-10-07,1964.0,102,lower delta rd,12,bm,97.0,0.0,16.0,78.0,3.0,0.0,0.0,0.0,1,1.281214142,103.8230395,h18,multi-storey car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,6,2.15,n
1998-10-07,1964.0,103,lower delta rd,12,bm,97.0,0.0,16.0,78.0,3.0,0.0,0.0,0.0,1,1.28875833,103.8257346,h18,multi-storey car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,6,2.15,n
2007-02-23,1952.0,23,silat walk / kg bahru hill / silat rd,4,bm,23.0,0.0,0.0,11.0,12.0,0.0,0.0,0.0,1,1.277276965,103.8310934,h18,multi-storey car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,6,2.15,n
1996-04-30,1969.0,6a,margaret dr,16,queenstown,108.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,1,1.298331096,103.8045159,q16,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,0.0,n
2001-02-17,1971.0,172,stirling rd,12,queenstown,97.0,0.0,3.0,90.0,3.0,1.0,0.0,0.0,1,1.291614775,103.8050527,q16,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,0.0,n
2001-02-17,1971.0,173,stirling rd,12,queenstown,97.0,0.0,3.0,90.0,3.0,1.0,0.0,0.0,1,1.297386857,103.803034,q16,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,0.0,n
2001-02-17,1971.0,174,stirling rd,12,queenstown,97.0,0.0,3.0,90.0,3.0,1.0,0.0,0.0,1,1.292102087,103.8023613,q16,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,0.0,n
