year_completed,blk_no,street,bldg_contract_town,max_floor_lvl,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,total_dwelling_units,age_announced,cluster,num_of_blocks,is_demolished,latitude_x,longitude_x,geometry_x,car_park_no,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,geometry_y,latitude_y,longitude_y,new_address
1979.0,580,ang mo kio ave 3,amk,13.0,0.0,0.0,122.0,23.33333333333333,0.0,0.0,145.33333333333334,18.0,"['580', '581', '582']",3.0,1,1.37151275308972,103.84315761947701,POINT (11559767.42856583 152690.6839408604),A31A,blk 125  /  126 ang mo kio st 12,29150.6699,39318.7539,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.0,N,POINT (11559823.149165 152729.2769143392),1.3718593403230488,103.84365816613578,blk 125 / 126 ang mo kio st 12
1979.0,581,ang mo kio ave 3,amk,13.0,0.0,0.0,122.0,23.33333333333333,0.0,0.0,145.33333333333334,18.0,"['580', '581', '582']",3.0,1,1.3676870625919098,103.83474733510201,POINT (11558831.19999178 152264.6883209358),A13,blk 232  /  233 ang mo kio st 22,28388.51,38892.03,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,POINT (11559060.77159324 152299.5589645443),1.3680002216512868,103.83680961188591,blk 232 / 233 ang mo kio st 22
1979.0,582,ang mo kio ave 3,amk,13.0,0.0,0.0,122.0,23.33333333333333,0.0,0.0,145.33333333333334,18.0,"['580', '581', '582']",3.0,1,1.3675879256949195,103.84459669185699,POINT (11559927.62537038 152253.6493073656),A21,blk 325  /  326  /  301 ang mo kio st 31,29446.1477,38906.1139,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,POINT (11560118.70887353 152313.7380926611),1.3681275586189134,103.84631322417121,blk 325 / 326 / 301 ang mo kio st 31
1975.0,24,dover cres,qt,14.0,0.0,0.0,73.5,65.0,0.0,0.0,138.5,22.0,"['24', '28']",2.0,1,1.30476356767422,103.78169719934799,POINT (11552925.68589312 145258.1712410566),AR2L,blk 26 and 27 dover cres,22194.6359,32026.8288,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0.0,N,POINT (11552865.29015193 145386.1847831267),1.305913234462207,103.7811546551739,blk 26 and 27 dover cres
1975.0,28,dover cres,qt,14.0,0.0,0.0,73.5,65.0,0.0,0.0,138.5,22.0,"['24', '28']",2.0,1,1.30476356767422,103.78169719934799,POINT (11552925.68589312 145258.1712410566),AR2L,blk 26 and 27 dover cres,22194.6359,32026.8288,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0.0,N,POINT (11552865.29015193 145386.1847831267),1.305913234462207,103.7811546551739,blk 26 and 27 dover cres
1971.0,3,syed alwi rd,kwn,17.0,0.0,0.0,44.0,14.333333333333336,0.0,0.0,58.33333333333334,26.0,"['3', '4', '5']",3.0,1,1.3075815494476102,103.85761138850401,POINT (11561376.41477396 145571.9490693935),CR29,blk 29  /  30 kelantan lane 25 26 27 jln berseh,30612.5155,32012.4666,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,POINT (11561285.34110541 145371.7705265807),1.3057837826214513,103.85679325981964,blk 29 / 30 kelantan lane 25 26 27 jln berseh
1971.0,4,syed alwi rd,kwn,17.0,0.0,0.0,44.0,14.333333333333336,0.0,0.0,58.33333333333334,26.0,"['3', '4', '5']",3.0,1,1.30784759081937,103.857323931322,POINT (11561344.41518683 145601.5723749475),CR30,blk 639  /  640 rowell court rowell rd rowell rd,30406.377,32213.3125,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,4.5,N,POINT (11561079.15116242 145574.0234117907),1.307600178729994,103.85494102404743,blk 639 / 640 rowell court rowell rd
1971.0,5,syed alwi rd,kwn,17.0,0.0,0.0,44.0,14.333333333333336,0.0,0.0,58.33333333333334,26.0,"['3', '4', '5']",3.0,1,1.30774301010899,103.85743149019301,POINT (11561356.38858558 145589.9274701799),CR30,blk 639  /  640 rowell court rowell rd rowell rd,30406.377,32213.3125,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,4.5,N,POINT (11561079.15116242 145574.0234117907),1.307600178729994,103.85494102404743,blk 639 / 640 rowell court rowell rd
1974.0,20,upper boon keng rd,kwn,16.0,0.0,0.0,277.0,0.0,4.0,0.0,281.0,31.0,['20'],1.0,1,1.31379318761444,103.87309387056,POINT (11563099.91679264 146263.6064326405),UBK2,blk 11  /  15  /  18 upp boon keng,32237.8125,33097.6016,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,POINT (11562911.07370975 146464.4786874951),1.3155971787692966,103.87139746428335,blk 11 / 15 / 18 upp boon keng
1977.0,54,sims dr,gl,12.5,0.0,0.0,64.5,106.0,2.1666666666666665,0.0,172.66666666666663,28.0,"['54', '56', '57', '59', '60', '62']",6.0,1,1.31681884371365,103.87663962486602,POINT (11563494.62835647 146600.5096986084),SDM2,blk 50a sims dr,33023.254,33156.8404,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,4,2.15,N,POINT (11563696.72178609 146524.1189414058),1.3161327950004906,103.87845506103255,blk 50a sims dr
1977.0,59,sims dr,gl,12.5,0.0,0.0,64.5,106.0,2.1666666666666665,0.0,172.66666666666663,28.0,"['54', '56', '57', '59', '60', '62']",6.0,1,1.31615075720637,103.878440158046,POINT (11563695.06279322 146526.1190126821),SDM2,blk 50a sims dr,33023.254,33156.8404,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,4,2.15,N,POINT (11563696.72178609 146524.1189414058),1.3161327950004906,103.87845506103255,blk 50a sims dr
